npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
37,0.4519,3948.3704,99,0,50784.5362,120,0,0.924,0.9079,0.9079,0.9058,0.9223,0.7609,0.9241,0.924,-67252.4846,-65278.2993,134578.9691,134815.1138,4369,134697.5428,0.0943,0.0918,0.0969,0,0.1949,0.1949,0.1188,0.1188,0.1188,0.1262,0.1262,0.1186,0.1186,137.3527,149.9853,0.8996,0.8621,0.6549,0.6437,0.9207,NA,NA,NA,NA
39,0.3545,3097.2986,97,0,50784.5362,120,0,0.9408,0.9267,0.9267,0.9245,0.939,0.759,0.9408,0.9408,-66826.9486,-65278.2993,133731.8973,133980.8066,4369,133856.8803,0.0841,0.0816,0.0867,0,0.0864,0.0864,0.0595,0.0595,0.0595,0.0633,0.0633,0.0595,0.0595,171.6661,187.6328,0.9255,0.8955,0.6601,0.7094,0.7268,NA,NA,NA,NA
32,0.329,2874.5885,59,0,45167.357,78,0,0.9376,0.9174,0.9174,0.9159,0.9364,0.7083,0.9376,0.9376,-52609.3603,-51172.0661,105282.7206,105486.9539,4369,105385.2708,0.1045,0.1013,0.10780000000000001,0,0.1009,0.1009,0.0686,0.0686,0.0686,0.0741,0.0741,0.0686,0.0686,119.4442,133.4805,0.9179,0.8734,0.5951,0.7245,0.6726,NA,NA,poor model fit,NA
