Unidade,n,all.factor,all.raw_alpha,all.std.alpha,all.G6(smc),all.average_r,all.S/N,all.ase,all.mean,all.sd,all.median_r,ML1.factor,ML1.raw_alpha,ML1.std.alpha,ML1.G6(smc),ML1.average_r,ML1.S/N,ML1.ase,ML1.mean,ML1.sd,ML1.median_r,ML2.factor,ML2.raw_alpha,ML2.std.alpha,ML2.G6(smc),ML2.average_r,ML2.S/N,ML2.ase,ML2.mean,ML2.sd,ML2.median_r,ML3.factor,ML3.raw_alpha,ML3.std.alpha,ML3.G6(smc),ML3.average_r,ML3.S/N,ML3.ase,ML3.mean,ML3.sd,ML3.median_r,ML4.factor,ML4.raw_alpha,ML4.std.alpha,ML4.G6(smc),ML4.average_r,ML4.S/N,ML4.ase,ML4.mean,ML4.sd,ML4.median_r,ML5.factor,ML5.raw_alpha,ML5.std.alpha,ML5.G6(smc),ML5.average_r,ML5.S/N,ML5.ase,ML5.mean,ML5.sd,ML5.median_r,ML6.factor,ML6.raw_alpha,ML6.std.alpha,ML6.G6(smc),ML6.average_r,ML6.S/N,ML6.ase,ML6.mean,ML6.sd,ML6.median_r,INF.factor,INF.raw_alpha,INF.std.alpha,INF.G6(smc),INF.average_r,INF.S/N,INF.ase,INF.mean,INF.sd,INF.median_r,EXP.factor,EXP.raw_alpha,EXP.std.alpha,EXP.G6(smc),EXP.average_r,EXP.S/N,EXP.ase,EXP.mean,EXP.sd,EXP.median_r
Faculdade de Letras - FALE,160,all,0.75,0.77,0.92,0.18,3.44,0.03,2.06,0.57,0.15,ML1,0.69,0.81,0.78,0.59,4.36,0.02,2.75,0.77,0.56,ML2,0.77,0.89,0.86,0.73,8.19,0.01,1.94,1.12,0.76,ML3,0.93,0.93,0.87,0.87,13.42,0.01,2.13,1.3,0.87,ML4,0.75,0.89,0.85,0.73,7.97,0.01,2.78,0.77,0.73,ML5,0.88,0.98,0.98,0.95,55.61,0,0.82,1.27,0.95,ML6,0.66,0.66,0.49,0.49,1.94,0.05,1.91,1.3,0.49,INF,0.68,0.74,0.91,0.19,2.8,0.04,2.07,0.56,0.12,EXP,0.76,0.77,0.8,0.45,3.32,0.03,2.02,1.09,0.41
Centro de Educação - CEDU,496,all,0.8,0.82,0.91,0.22,4.48,0.01,2.13,0.63,0.16,ML1,0.63,0.71,0.67,0.45,2.47,0.01,2.78,0.69,0.36,ML2,0.77,0.89,0.85,0.73,8.02,0.01,1.93,1.12,0.75,ML3,0.89,0.9,0.81,0.81,8.57,0.01,2.05,1.19,0.81,ML4,0.66,0.79,0.73,0.56,3.83,0.01,2.79,0.7,0.51,ML5,0.87,0.98,0.97,0.93,42.26,0,1.06,1.4,0.93,ML6,0.63,0.64,0.47,0.47,1.75,0.03,2.12,1.28,0.47,INF,0.75,0.78,0.9,0.23,3.58,0.02,2.14,0.63,0.1,EXP,0.72,0.73,0.76,0.41,2.77,0.02,2.09,1.02,0.31
Instituto de Ciências Biológicas e da Saúde - ICBS,146,all,0.76,0.78,0.9,0.18,3.47,0.03,2.11,0.55,0.12,ML1,0.66,0.75,0.7,0.49,2.93,0.02,2.77,0.72,0.39,ML2,0.71,0.84,0.79,0.64,5.27,0.02,2.35,0.97,0.64,ML3,0.85,0.85,0.74,0.74,5.81,0.02,2.18,1.14,0.74,ML4,0.65,0.78,0.71,0.54,3.48,0.03,2.76,0.69,0.51,ML5,0.88,0.98,0.98,0.95,52.99,0,0.62,1.21,0.94,ML6,0.64,0.64,0.47,0.47,1.8,0.06,1.94,1.21,0.47,INF,0.73,0.75,0.9,0.2,2.97,0.03,2.13,0.56,0.1,EXP,0.65,0.66,0.7,0.32,1.92,0.05,2.06,0.92,0.21
Campus Sertão (Delmiro Gouveia e Santana do Ipanema),243,all,0.79,0.8,0.91,0.2,4.04,0.02,2.01,0.59,0.16,ML1,0.67,0.77,0.73,0.53,3.41,0.02,2.66,0.74,0.45,ML2,0.66,0.79,0.74,0.56,3.76,0.02,2.42,0.96,0.53,ML3,0.89,0.89,0.8,0.8,7.84,0.01,1.94,1.25,0.8,ML4,0.71,0.85,0.79,0.65,5.53,0.02,2.61,0.84,0.63,ML5,0.88,0.98,0.98,0.95,63.51,0,0.6,1.17,0.95,ML6,0.56,0.57,0.39,0.39,1.3,0.06,1.73,1.25,0.39,INF,0.72,0.75,0.9,0.2,3.06,0.03,2.07,0.57,0.13,EXP,0.74,0.75,0.75,0.43,3.01,0.03,1.83,1.06,0.36
Instituto de Educação Física e Esporte - IEFE,77,all,0.83,0.84,0.93,0.24,5.11,0.03,2.05,0.64,0.19,ML1,0.63,0.73,0.68,0.47,2.69,0.03,2.74,0.72,0.38,ML2,0.66,0.83,0.77,0.61,4.79,0.04,2.24,0.92,0.62,ML3,0.87,0.87,0.78,0.78,6.97,0.03,1.89,1.17,0.78,ML4,0.73,0.87,0.82,0.69,6.76,0.02,2.68,0.84,0.67,ML5,0.87,0.99,0.98,0.97,93.24,0,0.84,1.36,0.97,ML6,0.41,0.41,0.26,0.26,0.7,0.13,1.71,1,0.26,INF,0.8,0.82,0.93,0.27,4.47,0.03,2.13,0.66,0.22,EXP,0.73,0.73,0.72,0.4,2.65,0.05,1.8,0.93,0.34
Instituto de Psicologia - IP,106,all,0.79,0.82,0.93,0.23,4.65,0.03,2.07,0.62,0.21,ML1,0.66,0.79,0.75,0.55,3.67,0.02,2.76,0.74,0.52,ML2,0.75,0.87,0.83,0.7,6.92,0.02,2.01,1.05,0.72,ML3,0.86,0.86,0.75,0.75,6.08,0.03,2.35,1.26,0.75,ML4,0.75,0.87,0.83,0.7,6.95,0.02,2.7,0.82,0.66,ML5,0.87,0.98,0.97,0.95,53.04,0,0.81,1.34,0.94,ML6,0.62,0.62,0.45,0.45,1.66,0.07,1.81,1.26,0.45,INF,0.72,0.79,0.92,0.24,3.77,0.04,2.07,0.6,0.17,EXP,0.76,0.76,0.75,0.44,3.2,0.04,2.08,1.07,0.44
Faculdade de Medicina - FAMED,199,all,0.77,0.8,0.9,0.21,4.03,0.02,2.44,0.56,0.16,ML1,0.8,0.81,0.68,0.68,4.18,0.03,4.24,0.77,0.68,ML2,0.63,0.78,0.72,0.54,3.58,0.02,2.45,0.9,0.57,ML3,0.88,0.88,0.78,0.78,7.21,0.02,2.52,1.12,0.78,ML4,0.65,0.77,0.71,0.53,3.4,0.02,3.13,0.57,0.47,ML5,0.88,0.99,0.99,0.97,114.86,0,0.51,1.16,0.97,ML6,0.63,0.64,0.47,0.47,1.76,0.05,2.39,1.27,0.47,INF,0.72,0.77,0.89,0.24,3.41,0.03,2.43,0.55,0.14,EXP,0.71,0.72,0.74,0.4,2.62,0.04,2.45,0.98,0.3
Instituto de Física - IF,31,all,0.82,0.85,0.96,0.26,5.48,0.04,2.06,0.64,0.21,ML1,0.77,0.89,0.86,0.73,8.32,0.03,2.71,0.94,0.71,ML2,0.65,0.79,0.72,0.56,3.86,0.06,2.3,0.94,0.55,ML3,0.92,0.93,0.87,0.87,13.38,0.03,1.79,1.18,0.87,ML4,0.66,0.82,0.75,0.6,4.56,0.06,2.74,0.71,0.61,ML5,0.87,0.98,0.98,0.96,64.34,0.01,0.72,1.28,0.97,ML6,0.63,0.64,0.48,0.48,1.81,0.13,2,1.24,0.48,INF,0.76,0.81,0.94,0.26,4.26,0.06,2.12,0.62,0.16,EXP,0.7,0.71,0.77,0.38,2.5,0.09,1.9,0.98,0.28
Instituto de Ciências Atmosféricas - ICAT,66,all,0.69,0.73,0.91,0.14,2.67,0.06,1.87,0.49,0.1,ML1,0.75,0.89,0.86,0.72,7.78,0.02,2.71,0.8,0.74,ML2,0.75,0.87,0.82,0.68,6.5,0.03,2.14,1.07,0.67,ML3,0.85,0.85,0.73,0.73,5.51,0.04,1.53,1.16,0.73,ML4,0.7,0.82,0.76,0.6,4.48,0.03,2.63,0.74,0.54,ML5,0.88,0.99,0.99,0.98,133.92,0,0.39,1,0.98,ML6,0.65,0.65,0.48,0.48,1.86,0.09,1.6,1.2,0.48,INF,0.63,0.7,0.91,0.16,2.3,0.07,1.97,0.48,0.11,EXP,0.64,0.64,0.7,0.31,1.81,0.08,1.56,0.92,0.21
Faculdade de Direito - FDA,99,all,0.79,0.82,0.93,0.23,4.53,0.03,2.56,0.67,0.17,ML1,0.72,0.72,0.56,0.56,2.59,0.06,4.22,0.76,0.56,ML2,0.75,0.87,0.83,0.7,6.9,0.02,1.93,1.11,0.72,ML3,0.89,0.89,0.79,0.79,7.75,0.02,2.56,1.16,0.79,ML4,0.59,0.75,0.67,0.51,3.08,0.04,3.12,0.53,0.5,ML5,0.87,0.99,0.98,0.97,83.64,0,1.64,1.64,0.97,ML6,0.74,0.75,0.6,0.6,3.05,0.05,2.4,1.32,0.6,INF,0.76,0.81,0.92,0.27,4.14,0.03,2.59,0.7,0.19,EXP,0.75,0.77,0.79,0.45,3.27,0.04,2.48,1.03,0.35
Instituto de Matemática - IM,37,all,0.54,0.59,0.91,0.09,1.42,0.11,2.17,0.44,0.05,ML1,0.74,0.9,0.86,0.74,8.71,0.04,2.77,0.81,0.73,ML2,0.8,0.93,0.9,0.81,12.77,0.03,2.09,1.15,0.79,ML3,0.82,0.82,0.69,0.69,4.45,0.06,1.92,1.05,0.69,ML4,0.57,0.58,0.4,0.4,1.35,0.14,3.95,0.65,0.4,ML5,0.88,0.98,0.98,0.95,54.68,0.01,0.73,1.28,0.95,ML6,0.61,0.63,0.46,0.46,1.69,0.12,1.99,1.15,0.46,INF,0.66,0.7,0.93,0.18,2.34,0.08,2.24,0.57,0.09,EXP,0.69,0.7,0.73,0.37,2.35,0.09,1.95,0.9,0.38
Escola de Enfermagem e Farmácia - ESENFAR,71,all,0.71,0.75,0.89,0.16,2.94,0.05,2.06,0.49,0.09,ML1,0.8,0.8,0.67,0.67,4.01,0.05,3.77,0.96,0.67,ML2,0.71,0.85,0.81,0.65,5.56,0.03,2.15,1.03,0.71,ML3,0.91,0.91,0.83,0.83,10.05,0.02,2.06,1.15,0.83,ML4,0.62,0.73,0.67,0.48,2.75,0.04,2.8,0.68,0.45,ML5,0.89,0.98,0.98,0.94,51.23,0,0.24,0.77,0.94,ML6,0.5,0.5,0.34,0.34,1.01,0.12,1.85,1.14,0.34,INF,0.71,0.74,0.9,0.21,2.88,0.05,2.1,0.53,0.1,EXP,0.66,0.67,0.72,0.34,2.08,0.07,1.95,0.91,0.25
Faculdade de Serviço Social - FSSO,38,all,0.73,0.75,0.94,0.15,2.93,0.06,1.92,0.58,0.14,ML1,0.79,0.91,0.89,0.78,10.39,0.02,2.68,1.02,0.72,ML2,0.78,0.91,0.88,0.78,10.67,0.03,2.07,1.18,0.8,ML3,0.83,0.83,0.7,0.7,4.74,0.06,1.92,1.3,0.7,ML4,0.73,0.81,0.8,0.59,4.23,0.02,2.69,0.86,0.5,ML5,0.87,0.99,0.99,0.98,182.01,0,0.52,1.22,0.99,ML6,0.65,0.66,0.49,0.49,1.91,0.11,1.49,1.24,0.49,INF,0.72,0.74,0.95,0.19,2.89,0.06,1.99,0.63,0.13,EXP,0.69,0.69,0.71,0.36,2.22,0.09,1.7,1.02,0.29
Instituto de Computação - IC,59,all,0.76,0.79,0.93,0.2,3.73,0.04,2.5,0.62,0.15,ML1,0.75,0.88,0.83,0.7,7.01,0.02,2.81,0.9,0.65,ML2,0.76,0.9,0.86,0.75,8.92,0.03,2.45,1.01,0.76,ML3,0.87,0.88,0.78,0.78,7.02,0.03,2.64,1.17,0.78,ML4,0.79,0.79,0.65,0.65,3.7,0.06,4.02,0.86,0.65,ML5,0.87,0.99,0.99,0.97,113.14,0,1.01,1.5,0.98,ML6,0.56,0.62,0.45,0.45,1.63,0.1,2.72,1.06,0.45,INF,0.68,0.73,0.92,0.2,2.73,0.06,2.44,0.63,0.06,EXP,0.77,0.77,0.78,0.45,3.29,0.04,2.68,0.96,0.46
Instituto de Ciências Sociais - ICS,38,all,0.81,0.81,0.94,0.21,4.33,0.04,2.14,0.67,0.2,ML1,0.71,0.83,0.79,0.62,4.84,0.03,2.84,0.77,0.59,ML2,0.65,0.8,0.74,0.57,4.05,0.07,1.88,0.85,0.58,ML3,0.88,0.88,0.79,0.79,7.66,0.04,2.14,1.37,0.79,ML4,0.79,0.93,0.9,0.82,13.67,0.03,2.78,0.92,0.82,ML5,0.86,0.99,0.98,0.96,80.99,0.01,1.19,1.61,0.96,ML6,0.67,0.67,0.5,0.5,2.02,0.11,1.93,1.24,0.5,INF,0.73,0.76,0.93,0.21,3.14,0.05,2.17,0.65,0.13,EXP,0.79,0.8,0.8,0.49,3.89,0.06,2.04,1.13,0.47
