group,value.of.group,mdl,n,chisq,df,cfi,tli,rmsea,rmsea.ci.lower,rmsea.ci.upper,cfi.robust,tli.robust,rmsea.robust,rmsea.ci.lower.robust,rmsea.ci.upper.robust,diff Chisq multi-mdl,diff df multi-mdl,Pr(>Chisq) multi-mdl,diff Chisq efa-mdl,diff df efa-mdl,Pr(>Chisq) efa-mdl,diff Chisq theoretical_mdl,diff df theoretical_mdl,Pr(>Chisq) theoretical_mdl,obs,err
Modalidade,Educação a Distância,multi-mdl,154,174.4515,89,0.9494,0.9318,0.079,0.0615,0.0962,0.9388,0.9175,0.0869,0.0725,0.1015,NA,NA,NA,39.725679310400146,10,1.8936695051947874e-5,40.875591631500846,8,2.1992799327013262e-6,NA,NA
Modalidade,Educação a Distância,efa-mdl,154,217.1581,99,0.93,0.9152,0.088,0.0722,0.1039,0.9199,0.9029,0.0943,0.0806,0.1082,39.725679310400146,10,1.8936695051947874e-5,NA,NA,NA,4.196579598209517,2,0.12266603252783015,NA,NA
Modalidade,Educação a Distância,theoretical_mdl,154,208.6414,97,0.9339,0.9182,0.0865,0.0703,0.1026,0.9225,0.9042,0.0937,0.0801,0.1075,40.875591631500846,8,2.1992799327013262e-6,4.196579598209517,2,0.12266603252783015,NA,NA,NA,NA,NA
DispositivoEmCasa,Não Tem Nemhum Dispositivo,multi-mdl,597,462.6075,89,0.9471,0.9287,0.0839,0.0764,0.0915,0.9465,0.9278,0.0841,0.0768,0.0916,NA,NA,NA,104.85964899998604,10,5.779301027989209e-18,4.922508794526127,8,0.7658255056862058,NA,NA
DispositivoEmCasa,Não Tem Nemhum Dispositivo,efa-mdl,597,549.4032,99,0.9363,0.9227,0.0873,0.0802,0.0945,0.9353,0.9216,0.0877,0.0808,0.0947,104.85964899998604,10,5.779301027989209e-18,NA,NA,NA,NA,2,NA,NA,NA
DispositivoEmCasa,Não Tem Nemhum Dispositivo,theoretical_mdl,597,467.9295,97,0.9475,0.9351,0.08,0.0728,0.0874,0.947,0.9344,0.0802,0.0731,0.0875,4.922508794526127,8,0.7658255056862058,NA,2,NA,NA,NA,NA,NA,NA
DispositivoEmCasa,Dispositivo Compartilhado,multi-mdl,1879,1118.5415,89,0.9492,0.9315,0.0785,0.0744,0.0826,0.9491,0.9313,0.0785,0.0744,0.0826,NA,NA,NA,352.9258901494591,10,9.53717054064809e-70,95.14311635279122,8,4.183012115685013e-17,NA,NA
DispositivoEmCasa,Dispositivo Compartilhado,efa-mdl,1879,1459.3965,99,0.9328,0.9186,0.0855,0.0817,0.0894,0.9327,0.9184,0.0856,0.0817,0.0894,352.9258901494591,10,9.53717054064809e-70,NA,NA,NA,328.13688989689865,2,5.571597109957363e-72,NA,NA
DispositivoEmCasa,Dispositivo Compartilhado,theoretical_mdl,1879,1215.7408,97,0.9448,0.9317,0.0783,0.0744,0.0823,0.9447,0.9316,0.0784,0.0745,0.0823,95.14311635279122,8,4.183012115685013e-17,328.13688989689865,2,5.571597109957363e-72,NA,NA,NA,NA,NA
DispositivoEmCasa,Dispositivo Próprio,multi-mdl,1893,1502.9622,89,0.9319,0.9082,0.0916,0.0876,0.0957,0.9315,0.9076,0.0919,0.0881,0.0958,NA,NA,NA,NA,10,NA,62.6922893928852,8,1.377614561396766e-10,NA,NA
DispositivoEmCasa,Dispositivo Próprio,efa-mdl,1893,1853.5051,99,0.9155,0.8976,0.0968,0.0929,0.1006,0.9107,0.8918,0.0994,0,0,NA,10,NA,NA,NA,NA,NA,2,NA,NA,NA
DispositivoEmCasa,Dispositivo Próprio,theoretical_mdl,1893,1589.2843,97,0.9282,0.9111,0.0901,0.0863,0.0941,0.9278,0.9107,0.0903,0.0866,0.0941,62.6922893928852,8,1.377614561396766e-10,NA,2,NA,NA,NA,NA,NA,NA
