DispositivoEmCasa,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
Não Tem Nemhum Dispositivo,597,32,0.3517,419.9078,59,0,6315.8393,78,0,0.9421,0.9235,0.9235,0.9121,0.9335,0.7061,0.9423,0.9421,-7216.0256,-7006.0718,14496.0513,14636.5926,597,14535.0019,0.1012,0.0922,0.1105,0,0.0446,0.0446,0.0464,0.0464,0.0464,0.0501,0.0501,0.0464,0.0464,111.797,124.927,0.9158,0.8702,0.5938,0.7391,0.8106,NA,NA,poor model fit,NA
Dispositivo Compartilhado,1879,32,0.2945,1106.6068,59,0,18003.2803,78,0,0.9416,0.9227,0.9227,0.9187,0.9385,0.7099,0.9416,0.9416,-22280.6845,-21727.3811,44625.369,44802.6009,1879,44700.9372,0.0972,0.0922,0.1023,0,0.1018,0.1018,0.0716,0.0716,0.0716,0.0774,0.0774,0.0716,0.0716,133.3247,149.0059,0.924,0.8827,0.599,0.7567,0.623,NA,NA,NA,NA
Dispositivo Próprio,1893,32,0.3813,1443.6028,59,0,18462.5539,78,0,0.9247,0.9004,0.9004,0.8966,0.9218,0.6973,0.9248,0.9247,-20898.3018,-20176.5004,41860.6035,42038.0729,1893,41936.409,0.1113,0.1064,0.1164,0,0.1139,0.1139,0.0738,0.0738,0.0738,0.0797,0.0797,0.0738,0.0738,103.1905,115.3006,0.9078,0.8578,0.5886,0.6937,0.7964,NA,NA,poor model fit,NA
