Unidade,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
Campus CECA,231,32,0.3678,169.9111,59,0,2443.0939,78,0,0.9531,0.938,0.938,0.9081,0.9305,0.7038,0.9535,0.9531,-2804.8008,-2719.8453,5673.6017,5783.7591,231,5682.3372,0.0902,0.0745,0.1062,0,0.0448,0.0448,0.054,0.054,0.054,0.0583,0.0583,0.054,0.054,106.9492,119.5048,0.9063,0.8554,0.5876,0.7866,1.0126,NA,NA,NA,NA
"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",790,32,0.3595,568.031,59,0,8254.4079,78,0,0.9377,0.9177,0.9177,0.909,0.9312,0.7044,0.9379,0.9377,-9097.9068,-8813.8913,18259.8135,18409.3186,790,18307.7018,0.1045,0.0968,0.1124,0,0.0657,0.0657,0.0626,0.0626,0.0626,0.0676,0.0676,0.0626,0.0626,109.3834,122.2274,0.9119,0.8642,0.5913,0.7246,0.8,NA,NA,poor model fit,NA
"Faculdade de Economia, Administração e Contabilidade - FEAC",224,32,0.5478,245.4218,59,0,2517.6326,78,0,0.9236,0.899,0.899,0.8711,0.9025,0.6827,0.9242,0.9236,-2685.1049,-2562.394,5434.2099,5543.3825,224,5441.9693,0.1188,0.1036,0.1344,0,0.0974,0.0974,0.071,0.071,0.071,0.0767,0.0767,0.071,0.071,72.1283,80.5574,0.8681,0.7965,0.5628,0.6596,1.3813,NA,NA,poor model fit,NA
"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",256,32,0.4387,224.602,59,0,2694.1573,78,0,0.9367,0.9163,0.9163,0.8898,0.9166,0.6934,0.9372,0.9367,-3331.7757,-3219.4747,6727.5514,6840.9971,256,6739.5484,0.1047,0.0904,0.1194,0,0.1245,0.1245,0.0757,0.0757,0.0757,0.0818,0.0818,0.0757,0.0757,89.8247,100.3509,0.8945,0.8372,0.5799,0.7237,1.1274,NA,NA,poor model fit,NA
Faculdade de Arquitetura e Urbanismo - FAU,264,32,0.3788,199.9944,59,0,2562.7048,78,0,0.9433,0.925,0.925,0.8968,0.922,0.6974,0.9437,0.9433,-3071.4585,-2971.4613,6206.917,6321.3474,264,6219.8912,0.0951,0.0808,0.1098,0,0.0597,0.0597,0.0633,0.0633,0.0633,0.0684,0.0684,0.0633,0.0633,103.8711,116.0619,0.9014,0.8479,0.5844,0.7656,1,NA,NA,NA,NA
Centro de Tecnologia - CTEC,334,32,0.331,221.1349,59,0,3867.5509,78,0,0.9572,0.9434,0.9434,0.9244,0.9428,0.7132,0.9574,0.9572,-3504.9698,-3394.4024,7073.9397,7195.8962,334,7094.3895,0.0907,0.0781,0.1036,0,0.0851,0.0851,0.0605,0.0605,0.0605,0.0653,0.0653,0.0605,0.0605,118.7055,132.6543,0.9186,0.8745,0.5956,0.7845,0.8537,NA,NA,NA,NA
Faculdade de Letras - FALE,160,32,0.3823,122.3362,59,0,1790.6416,78,0,0.963,0.9511,0.9511,0.9097,0.9317,0.7047,0.9634,0.963,-1921.498,-1860.3299,3906.9959,4005.4015,160,3904.1013,0.0819,0.0613,0.1024,0.0071,0.1245,0.1245,0.0797,0.0797,0.0797,0.0861,0.0861,0.0797,0.0797,102.9231,115.0015,0.9016,0.8482,0.5845,0.8204,1.1646,NA,NA,NA,NA
Centro de Educação - CEDU,496,32,0.3826,379.4944,59,0,4516.4321,78,0,0.9278,0.9045,0.9045,0.8889,0.916,0.6929,0.9281,0.9278,-6064.8031,-5875.0559,12193.6063,12328.2167,496,12226.6477,0.1047,0.0947,0.1148,0,0.1824,0.1824,0.0989,0.0989,0.0989,0.1068,0.1068,0.0989,0.0989,102.8554,114.9258,0.9031,0.8506,0.5856,0.7239,0.8941,NA,NA,poor model fit,NA
Instituto de Ciências Biológicas e da Saúde - ICBS,146,32,0.6012,175.55,59,0,1468.3527,78,0,0.9162,0.8892,0.8892,0.8419,0.8804,0.666,0.9173,0.9162,-1679.8407,-1592.0656,3423.6813,3519.1567,146,3417.8944,0.1163,0.0967,0.1364,0,0.0885,0.0885,0.0872,0.0872,0.0872,0.0942,0.0942,0.0872,0.0872,65.8126,73.4933,0.8637,0.7898,0.56,0.6709,1.6408,NA,NA,poor model fit,NA
Campus Sertão (Delmiro Gouveia e Santana do Ipanema),243,32,0.5206,253.0109,59,0,2618.5309,78,0,0.9236,0.899,0.899,0.8723,0.9034,0.6833,0.9242,0.9236,-2971.2124,-2844.7069,6006.4247,6118.2027,243,6016.7673,0.1163,0.1018,0.1313,0,0.127,0.127,0.0784,0.0784,0.0784,0.0847,0.0847,0.0784,0.0784,75.847,84.7168,0.8774,0.811,0.5689,0.6709,1.3046,NA,NA,poor model fit,NA
