Modalidade,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
Presencial,4215,32,0.3281,2765.8167,59,0,44098.1144,78,0,0.9385,0.9187,0.9187,0.9171,0.9373,0.709,0.9385,0.9385,-50289.7138,-48906.8055,100643.4277,100846.5126,4215,100744.8301,0.1043,0.101,0.1077,0,0.0922,0.0922,0.0663,0.0663,0.0663,0.0716,0.0716,0.0663,0.0663,119.7632,133.8372,0.918,0.8735,0.5952,0.7254,0.6714,NA,NA,poor model fit,NA
Educação a Distância,154,32,0.4897,150.8347,59,0,1251.7387,78,0,0.9218,0.8966,0.8966,0.8407,0.8795,0.6653,0.923,0.9218,-1899.287,-1823.8696,3862.574,3959.7565,154,3858.4717,0.1005,0.0808,0.1205,0,0.1194,0.1194,0.0923,0.0923,0.0923,0.0997,0.0997,0.0923,0.0923,80.5659,89.9949,0.8825,0.8188,0.5722,0.7422,1.395,NA,NA,poor model fit,NA
