Unidade,Nivel,Modalidade,DispositivoEmCasa,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
Campus CECA,NA,Presencial,NA,229,39,0.4842,221.7855,97,0,2682.6987,120,0,0.9513,0.9398,0.9398,0.8977,0.9173,0.7415,0.9517,0.9513,-3470.2658,-3359.3731,7018.5317,7152.4468,229,7028.8419,0.075,0.062,0.088,0.0011,0.0787,0.0787,0.064,0.064,0.064,0.0681,0.0681,0.064,0.064,125.9253,137.6128,0.8987,0.858,0.641,0.7615,1.3091,NA,NA,NA,NA
"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",NA,Presencial,NA,764,39,0.3871,591.5239,97,0,8759.9266,120,0,0.9428,0.9292,0.9292,0.9165,0.9325,0.7537,0.9429,0.9428,-11082.8577,-10787.0958,22243.7155,22424.6196,764,22300.7775,0.0817,0.0754,0.0881,0,0.05,0.05,0.0519,0.0519,0.0519,0.0552,0.0552,0.0519,0.0519,157.2677,171.8874,0.9211,0.8894,0.657,0.7235,0.8763,NA,NA,NA,NA
"Faculdade de Economia, Administração e Contabilidade - FEAC",NA,Presencial,NA,224,39,0.6465,289.638,97,0,2853.4978,120,0,0.9295,0.9128,0.9128,0.8744,0.8985,0.7263,0.9301,0.9295,-3411.5276,-3266.7086,6901.0551,7034.1093,224,6910.5119,0.0942,0.0818,0.1067,0,0.0946,0.0946,0.0681,0.0681,0.0681,0.0725,0.0725,0.0681,0.0681,94.5709,103.3249,0.8715,0.8198,0.6216,0.6505,1.6412,NA,NA,NA,NA
"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",NA,Presencial,NA,256,39,0.558,285.6811,97,0,2994.1414,120,0,0.9344,0.9188,0.9188,0.882,0.9046,0.7312,0.9349,0.9344,-4152.0897,-4009.2491,8382.1793,8520.4412,256,8396.8006,0.0872,0.0756,0.099,0,0.1148,0.1148,0.0704,0.0704,0.0704,0.075,0.075,0.0704,0.0704,109.4193,119.5625,0.8881,0.8431,0.6334,0.6918,1.4206,NA,NA,NA,NA
Faculdade de Arquitetura e Urbanismo - FAU,NA,Presencial,NA,264,39,0.4481,236.6188,97,0,2872.2509,120,0,0.9493,0.9372,0.9372,0.8981,0.9176,0.7417,0.9497,0.9493,-3902.1229,-3783.8136,7882.2459,8021.7079,264,7898.0582,0.0738,0.062,0.0858,7e-04,0.0583,0.0583,0.0584,0.0584,0.0584,0.0622,0.0622,0.0584,0.0584,135.9904,148.6195,0.9058,0.868,0.6461,0.7676,1.1917,NA,NA,NA,NA
Centro de Tecnologia - CTEC,NA,Presencial,NA,333,39,0.4101,273.1176,97,0,4242.2154,120,0,0.9573,0.9471,0.9471,0.9204,0.9356,0.7563,0.9575,0.9573,-4511.3819,-4374.8231,9100.7639,9249.2814,333,9125.5709,0.0738,0.0636,0.0843,1e-04,0.0792,0.0792,0.0576,0.0576,0.0576,0.0613,0.0613,0.0576,0.0576,148.5172,162.3183,0.9161,0.8824,0.6534,0.7676,1.0544,NA,NA,NA,NA
Faculdade de Letras - FALE,NA,Presencial,NA,154,39,0.4989,153.6731,97,2e-04,2082.9572,120,0,0.9711,0.9643,0.9643,0.9087,0.9262,0.7487,0.9715,0.9711,-2324.6319,-2247.7954,4727.2639,4845.705,154,4722.2642,0.0616,0.0424,0.0795,0.1487,0.1078,0.1078,0.0772,0.0772,0.0772,0.0821,0.0821,0.0772,0.0772,122.247,133.5903,0.8943,0.8518,0.6378,0.8319,1.5044,NA,NA,NA,the model has close fit
Centro de Educação - CEDU,NA,Presencial,NA,419,39,0.4741,397.3002,97,0,4703.1886,120,0,0.9345,0.9189,0.9189,0.8955,0.9155,0.74,0.9348,0.9345,-6448.2534,-6249.6033,12974.5068,13131.9838,419,13008.2254,0.086,0.0773,0.0948,0,0.1412,0.1412,0.082,0.082,0.082,0.0873,0.0873,0.082,0.082,128.5979,140.5353,0.9027,0.8636,0.6438,0.6988,1.1344,NA,NA,NA,NA
Instituto de Ciências Biológicas e da Saúde - ICBS,NA,Presencial,NA,146,39,0.8105,236.6782,97,0,1717.4879,120,0,0.9126,0.8918,0.8918,0.8295,0.8622,0.6969,0.9138,0.9126,-2124.238,-2005.8989,4326.476,4442.8367,146,4319.4232,0.0993,0.0833,0.1154,0,0.0949,0.0949,0.0838,0.0838,0.0838,0.0892,0.0892,0.0838,0.0838,75.635,82.6176,0.8492,0.7885,0.6057,0.6198,2.1553,NA,NA,NA,NA
Campus Sertão (Delmiro Gouveia e Santana do Ipanema),NA,Presencial,NA,234,39,0.6482,303.3725,97,0,2783.6197,120,0,0.9225,0.9042,0.9042,0.8652,0.891,0.7202,0.9232,0.9225,-3496.538,-3344.8518,7071.0761,7205.8336,234,7082.2214,0.0954,0.0833,0.1076,0,0.1084,0.1084,0.0743,0.0743,0.0743,0.0791,0.0791,0.0743,0.0743,94.3228,103.0537,0.8733,0.8223,0.6228,0.6434,1.6298,NA,NA,NA,NA
Instituto de Psicologia - IP,NA,Presencial,NA,106,39,0.7486,158.7036,97,1e-04,1370.0625,120,0,0.9506,0.9389,0.9389,0.8567,0.8842,0.7147,0.9515,0.9506,-1653.2484,-1573.8966,3384.4968,3488.3709,106,3365.1558,0.0775,0.055,0.0987,0.0248,0.1675,0.1675,0.0897,0.0897,0.0897,0.0955,0.0955,0.0897,0.0897,81.8104,89.3707,0.8542,0.7956,0.6092,0.7475,2.2331,NA,NA,NA,NA
Instituto de Ciências Atmosféricas - ICAT,NA,Presencial,NA,66,39,1.3467,177.7674,97,0,1016.597,120,0,0.9099,0.8886,0.8886,0.7837,0.8251,0.667,0.9122,0.9099,-918.2096,-829.3259,1914.4192,1999.8157,66,1877.0359,0.1123,0.0859,0.1381,2e-04,0.1815,0.1815,0.1522,0.1522,0.1522,0.162,0.162,0.1522,0.1522,45.92,50.1225,0.7746,0.684,0.5525,0.5423,3.8753,NA,NA,poor model fit,NA
Instituto de Ciências Sociais - ICS,NA,Presencial,NA,37,39,1.7804,131.7463,97,0.0109,602.1631,120,0,0.9279,0.9108,0.9108,0.7293,0.7812,0.6315,0.9312,0.9279,-569.8388,-503.9656,1217.6776,1280.5034,37,1158.6124,0.0984,0.0492,0.1385,0.052,0.1803,0.1803,0.1162,0.1162,0.1162,0.1237,0.1237,0.1162,0.1162,34.9791,38.158,0.7254,0.615,0.5174,0.6253,5.6688,NA,NA,NA,the model has close fit
