DispositivoEmCasa,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
Não Tem Nemhum Dispositivo,597,39,0.3919,467.9295,97,0,7186.9113,120,0,0.9475,0.9351,0.9351,0.9195,0.9349,0.7557,0.9477,0.9475,-9205.7655,-8971.8008,18489.531,18660.8157,597,18537.0021,0.08,0.0728,0.0874,0,0.0473,0.0473,0.0432,0.0432,0.0432,0.046,0.046,0.0432,0.0432,155.3626,169.8041,0.9214,0.8898,0.6572,0.733,0.9145,NA,NA,NA,NA
Dispositivo Compartilhado,1879,39,0.3235,1215.7408,97,0,20373.1503,120,0,0.9448,0.9317,0.9317,0.9262,0.9403,0.7601,0.9448,0.9448,-28420.3614,-27812.491,56918.7229,57134.7242,1879,57010.8216,0.0783,0.0744,0.0823,0,0.0878,0.0878,0.0633,0.0633,0.0633,0.0674,0.0674,0.0633,0.0633,187.9967,205.4913,0.9299,0.9017,0.6632,0.7425,0.6885,NA,NA,NA,NA
Dispositivo Próprio,1893,39,0.4198,1589.2843,97,0,20891.8397,120,0,0.9282,0.9111,0.9111,0.9059,0.9239,0.7468,0.9282,0.9282,-26954.5835,-26159.9413,53987.1669,54203.4577,1893,54079.5548,0.0901,0.0863,0.0941,0,0.0965,0.0965,0.0645,0.0645,0.0645,0.0686,0.0686,0.0645,0.0645,145.111,158.5934,0.914,0.8795,0.6519,0.6742,0.8808,NA,NA,NA,NA
