Unidade,Nivel,Modalidade,DispositivoEmCasa,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
Campus CECA,NA,Presencial,NA,229,37,0.5814,266.2586,99,0,2682.6987,120,0,0.9347,0.9209,0.9209,0.8797,0.9007,0.7431,0.9353,0.9347,-3492.5024,-3359.3731,7059.0048,7186.0525,229,7068.7862,0.0859,0.0735,0.0984,0,0.1813,0.1813,0.1148,0.1148,0.1148,0.1221,0.1221,0.1147,0.1147,106.9818,116.8007,0.8759,0.8295,0.6376,0.6941,1.4858,NA,NA,NA,NA
"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",NA,Presencial,NA,764,37,0.4663,712.455,99,0,8759.9266,120,0,0.929,0.9139,0.9139,0.9014,0.9187,0.7579,0.9292,0.929,-11143.3233,-10787.0958,22360.6465,22532.2735,764,22414.7823,0.0901,0.0839,0.0963,0,0.1474,0.1474,0.1097,0.1097,0.1097,0.1167,0.1167,0.1096,0.1096,133.1404,145.3827,0.9016,0.8649,0.6563,0.6693,1.0294,NA,NA,NA,NA
Instituto de Química e Biotecnologia - IQB,NA,Presencial,NA,119,37,1.1212,266.8521,99,0,1669.2461,120,0,0.8917,0.8687,0.8687,0.8062,0.8401,0.6931,0.8931,0.8917,-1592.5624,-1459.1364,3259.1249,3361.9524,119,3244.9811,0.1194,0.1022,0.1367,0,0.1857,0.1857,0.1306,0.1306,0.1306,0.139,0.139,0.1306,0.1306,55.951,61.0421,0.7982,0.7227,0.581,0.494,2.8643,NA,NA,poor model fit,NA
"Faculdade de Economia, Administração e Contabilidade - FEAC",NA,Presencial,NA,224,37,0.8736,391.3774,99,0,2853.4978,120,0,0.893,0.8704,0.8704,0.8337,0.8628,0.7118,0.8939,0.893,-3462.3973,-3266.7086,6998.7946,7125.0255,224,7007.7664,0.1148,0.103,0.1269,0,0.3189,0.3189,0.1725,0.1725,0.1725,0.1826,0.1826,0.1717,0.1717,71.5264,78.0604,0.8212,0.7543,0.5978,0.5207,2.0776,NA,NA,poor model fit,NA
"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",NA,Presencial,NA,256,37,0.6469,331.2065,99,0,2994.1414,120,0,0.9192,0.9021,0.9021,0.8659,0.8894,0.7337,0.9198,0.9192,-4174.8524,-4009.2491,8423.7047,8554.8763,256,8437.5762,0.0957,0.0845,0.1072,0,0.2253,0.2253,0.1286,0.1286,0.1286,0.1367,0.1367,0.1285,0.1285,96.2447,105.0688,0.8658,0.8157,0.6303,0.6354,1.5828,NA,NA,NA,NA
Faculdade de Arquitetura e Urbanismo - FAU,NA,Presencial,NA,264,37,0.5086,268.532,99,0,2872.2509,120,0,0.9384,0.9253,0.9253,0.8867,0.9065,0.7479,0.9389,0.9384,-3918.0796,-3783.8136,7910.1591,8042.4692,264,7925.1605,0.0805,0.0691,0.0922,0,0.1202,0.1202,0.09,0.09,0.09,0.0957,0.0957,0.09,0.09,122.1456,133.3693,0.8919,0.8514,0.6492,0.7254,1.2975,NA,NA,NA,NA
Centro de Tecnologia - CTEC,NA,Presencial,NA,333,37,0.5005,333.3199,99,0,4242.2154,120,0,0.9432,0.9311,0.9311,0.9048,0.9214,0.7602,0.9434,0.9432,-4541.4831,-4374.8231,9156.9662,9297.8675,333,9180.501,0.0843,0.0744,0.0944,0,0.1837,0.1837,0.1199,0.1199,0.1199,0.1275,0.1275,0.1198,0.1198,124.1069,135.5124,0.8941,0.8545,0.6508,0.7034,1.2232,NA,NA,NA,NA
Faculdade de Letras - FALE,NA,Presencial,NA,154,37,0.5652,174.09,99,0,2082.9572,120,0,0.9617,0.9536,0.9536,0.8987,0.9164,0.756,0.9622,0.9617,-2334.8403,-2247.7954,4743.6807,4856.0479,154,4738.9374,0.0702,0.0526,0.0872,0.0307,0.1902,0.1902,0.1226,0.1226,0.1226,0.1304,0.1304,0.1225,0.1225,110.005,120.104,0.8758,0.8294,0.6376,0.7836,1.611,NA,NA,NA,NA
Centro de Educação - CEDU,NA,Presencial,NA,419,37,0.5647,473.1979,99,0,4703.1886,120,0,0.9184,0.901,0.901,0.878,0.8994,0.742,0.9187,0.9184,-6486.2023,-6249.6033,13046.4046,13195.8058,419,13078.394,0.095,0.0865,0.1037,0,0.2253,0.2253,0.1365,0.1365,0.1365,0.1449,0.1449,0.1362,0.1362,110.1116,120.2204,0.879,0.8338,0.6399,0.6398,1.306,NA,NA,NA,NA
Instituto de Ciências Biológicas e da Saúde - ICBS,NA,Presencial,NA,146,37,0.9283,271.0593,99,0,1717.4879,120,0,0.8923,0.8694,0.8694,0.8087,0.8422,0.6948,0.8937,0.8923,-2141.4286,-2005.8989,4356.8571,4467.2506,146,4350.166,0.1091,0.0937,0.1247,0,0.1732,0.1732,0.1229,0.1229,0.1229,0.1303,0.1303,0.1225,0.1225,67.3725,73.5217,0.8241,0.7583,0.5999,0.5547,2.3634,NA,NA,poor model fit,NA
