DispositivoEmCasa,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
Não Tem Nemhum Dispositivo,597,32,0.0801,95.6091,59,0.0018,5905.6384,78,0,0.9937,0.9917,0.9917,0.9786,0.9838,0.7442,0.9937,0.9937,-7908.6529,-7860.8483,15881.3057,16021.8471,597,15920.2564,0.0322,0.0198,0.0437,0.9957,0.0642,0.0642,0.0409,0.0409,0.0409,0.0442,0.0442,0.0409,0.0409,487.6116,545.2777,0.9753,0.9619,0.6323,0.9698,0.2674,NA,NA,NA,NA
Dispositivo Compartilhado,1879,32,0.0821,308.6203,59,0,16747.3585,78,0,0.985,0.9802,0.9802,0.9756,0.9816,0.7425,0.985,0.985,-24584.8743,-24430.5642,49233.7486,49410.9805,1879,49309.3168,0.0475,0.0423,0.0527,0.7811,0.0683,0.0683,0.0436,0.0436,0.0436,0.0471,0.0471,0.0436,0.0436,475.4712,531.6986,0.9746,0.9608,0.6319,0.9357,0.1983,NA,NA,NA,NA
Dispositivo Próprio,1893,32,0.0833,315.2915,59,0,17254.1852,78,0,0.9851,0.9803,0.9803,0.9758,0.9817,0.7426,0.9851,0.9851,-24431.4685,-24273.8228,48926.9371,49104.4064,1893,49002.7425,0.0479,0.0428,0.0532,0.7378,0.0698,0.0698,0.0413,0.0413,0.0413,0.0446,0.0446,0.0413,0.0413,468.8924,524.3402,0.9739,0.9597,0.6314,0.9345,0.2004,NA,NA,NA,NA
