Unidade,Nivel,Modalidade,DispositivoEmCasa,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
Instituto de Ciências Biológicas e da Saúde - ICBS,NA,NA,NA,146,32,0.3183,92.9299,59,0.0032,1371.5266,78,0,0.9738,0.9653,0.9653,0.9104,0.9322,0.7052,0.9741,0.9738,-1881.0041,-1834.5392,3826.0082,3921.4836,146,3820.2213,0.0628,0.0367,0.0863,0.1884,0.1017,0.1017,0.0668,0.0668,0.0668,0.0722,0.0722,0.0668,0.0668,123.4348,137.944,0.9131,0.866,0.592,0.8903,1.0749,NA,NA,NA,model fit is worse
Campus Sertão (Delmiro Gouveia e Santana do Ipanema),NA,NA,NA,243,32,0.2395,116.3813,59,0,2345.3145,78,0,0.9747,0.9665,0.9665,0.9344,0.9504,0.7189,0.9749,0.9747,-3261.5389,-3203.3483,6587.0778,6698.8558,243,6597.4204,0.0633,0.0462,0.0801,0.0968,0.0963,0.0963,0.0702,0.0702,0.0702,0.0759,0.0759,0.0702,0.0702,163.7162,182.999,0.9322,0.8954,0.6044,0.8886,0.7423,NA,NA,NA,model fit is worse
Instituto de Educação Física e Esporte - IEFE,NA,NA,NA,77,32,0.4687,72.173,59,0.1164,866.2942,78,0,0.9833,0.9779,0.9779,0.8899,0.9167,0.6934,0.9837,0.9833,-989.1834,-953.0968,2042.3667,2117.3685,77,2016.4913,0.0538,0,0.0925,0.4207,0.1525,0.1525,0.0978,0.0978,0.0978,0.1057,0.1057,0.0978,0.0978,84.1426,93.9954,0.8824,0.8187,0.5721,0.918,1.7685,NA,NA,NA,model fit is worse
Instituto de Psicologia - IP,NA,NA,NA,106,32,0.3264,69.1869,59,0.1712,1096.5467,78,0,0.99,0.9868,0.9868,0.9166,0.9369,0.7087,0.9902,0.99,-1481.1988,-1446.6053,3026.3975,3111.6276,106,3010.528,0.0404,0,0.0749,0.6393,0.1285,0.1285,0.0746,0.0746,0.0746,0.0806,0.0806,0.0746,0.0746,120.396,134.5451,0.9108,0.8625,0.5905,0.9531,1.2565,NA,NA,NA,NA
Faculdade de Medicina - FAMED,NA,NA,NA,199,32,0.2093,83.3135,59,0.0203,1999.6337,78,0,0.9873,0.9833,0.9833,0.9449,0.9583,0.7249,0.9875,0.9873,-2234.743,-2193.0862,4533.486,4638.8718,199,4537.494,0.0455,0.0187,0.0669,0.6101,0.1119,0.1119,0.0794,0.0794,0.0794,0.0858,0.0858,0.0794,0.0794,187.1423,209.2012,0.9396,0.9068,0.6092,0.9407,0.7403,NA,NA,NA,NA
Instituto de Física - IF,NA,NA,NA,31,32,0.7398,45.865,59,0.8944,361.7384,78,0,1,1.0612,1.0612,0.8324,0.8732,0.6605,1.0434,1.0463,-385.0118,-362.0793,834.0236,879.9112,31,780.2142,0,0,0.0515,0.9477,0.1375,0.1375,0.0985,0.0985,0.0985,0.1064,0.1064,0.0985,0.0985,53.673,59.9151,0.8305,0.7386,0.5385,1.236,3.544,NA,NA,NA,NA
Instituto de Ciências Atmosféricas - ICAT,NA,NA,NA,66,32,0.6335,83.6174,59,0.0192,783.2442,78,0,0.9651,0.9539,0.9539,0.8589,0.8932,0.6757,0.966,0.9651,-790.5114,-748.7027,1645.0228,1715.0917,66,1614.3493,0.0795,0.0334,0.1166,0.1207,0.154,0.154,0.1198,0.1198,0.1198,0.1295,0.1295,0.1198,0.1198,62.5113,69.8007,0.8565,0.7787,0.5553,0.8299,2.2366,NA,NA,NA,model fit is worse
Faculdade de Direito - FDA,NA,NA,NA,99,32,0.4298,85.1046,59,0.0147,1082.4612,78,0,0.974,0.9656,0.9656,0.8961,0.9214,0.6969,0.9745,0.974,-1269.5248,-1226.9725,2603.0497,2686.0935,99,2585.0358,0.0669,0.0307,0.0968,0.1886,0.1788,0.1788,0.0742,0.0742,0.0742,0.0801,0.0801,0.0742,0.0742,91.6546,102.3977,0.8937,0.8361,0.5795,0.8765,1.5061,NA,NA,NA,model fit is worse
Escola de Enfermagem e Farmácia - ESENFAR,NA,NA,NA,71,32,0.3148,44.7085,59,0.9158,717.9592,78,0,1,1.0295,1.0295,0.9177,0.9377,0.7093,1.0217,1.0223,-792.3707,-770.0165,1648.7415,1721.1472,71,1620.3385,0,0,0.028,0.9857,0.0927,0.0927,0.0686,0.0686,0.0686,0.0741,0.0741,0.0686,0.0686,124.7586,139.4247,0.9178,0.8732,0.595,1.1059,1.5311,NA,NA,NA,NA
Faculdade de Serviço Social - FSSO,NA,NA,NA,38,32,1.3669,103.8862,59,3e-04,592.8646,78,0,0.9128,0.8847,0.8847,0.7683,0.8248,0.6239,0.9159,0.9128,-458.7895,-406.8464,981.579,1033.9818,38,933.9255,0.1415,0.0953,0.1856,0.002,0.2433,0.2433,0.1445,0.1445,0.1445,0.1561,0.1561,0.1445,0.1445,29.5058,32.8839,0.7601,0.63,0.4928,0.554,4.4181,NA,NA,poor model fit,model fit is worse
Instituto de Ciências Sociais - ICS,NA,NA,NA,38,32,0.9156,69.5868,59,0.163,505.9721,78,0,0.9753,0.9673,0.9673,0.8182,0.8625,0.6524,0.9763,0.9753,-514.1534,-479.3599,1092.3067,1144.7095,38,1044.6531,0.0687,0,0.126,0.319,0.1212,0.1212,0.0787,0.0787,0.0787,0.085,0.085,0.0787,0.0787,43.5563,48.5995,0.7979,0.6883,0.5173,0.87,3.5154,NA,NA,NA,model fit is worse
NA,Graduação (bacharelado),NA,NA,2617,32,0.0909,475.6079,59,0,25473.3171,78,0,0.9836,0.9783,0.9783,0.9753,0.9813,0.7423,0.9836,0.9836,-33671.3123,-33433.5084,67406.6247,67594.4577,2617,67492.7845,0.0519,0.0477,0.0563,0.2233,0.0967,0.0967,0.0572,0.0572,0.0572,0.0618,0.0618,0.0572,0.0572,429.8074,480.6233,0.971,0.9553,0.6296,0.9235,0.2062,NA,NA,NA,model fit is worse
Faculdade de Odontologia - FOUFAL,Graduação (bacharelado),NA,NA,106,32,0.4551,96.4844,59,0.0015,1529.0764,78,0,0.9742,0.9658,0.9658,0.9166,0.9369,0.7087,0.9745,0.9742,-937.5575,-889.3153,1939.115,2024.3451,106,1923.2455,0.0774,0.048,0.1046,0.0605,0.1149,0.1149,0.0852,0.0852,0.0852,0.092,0.092,0.0852,0.0852,86.6163,96.7623,0.8827,0.819,0.5723,0.8379,1.514,NA,NA,NA,model fit is worse
