UserID,Unidade,Nivel,Modalidade
15948dcbc5e4f76c456f7fc63fbcd54c,"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),Presencial
f7008a25fbef47938a629117b01b4bee,Faculdade de Medicina - FAMED,Doutorado,Presencial
e4a1e14e7ca62f121fccc0e74dd4abcc,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Presencial
5a6671bd2844436f8d2562f9f0c28e4b,Faculdade de Medicina - FAMED,Técnico,Educação a Distância
4c5cb0df352490ff710cf0469ff9c487,Escola de Enfermagem e Farmácia - ESENFAR,Técnico,Educação a Distância
ac90ac4544c73c24005d6b42bec1c806,Faculdade de Arquitetura e Urbanismo - FAU,Graduação (bacharelado),Presencial
4ef1c42e6a2746c6fda8389741a79c9b,"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),Presencial
4993d80b38082cf2bb086ff76f68545b,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (licenciatura),Educação a Distância
fedcf99df096c9fb95f8e64ad19778bb,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (licenciatura),Educação a Distância
27fb07dabd119253cd402fae938bd19d,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (licenciatura),Educação a Distância
3e4038a37f8a221419eca59d620a8d54,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (licenciatura),Educação a Distância
b2863e5c7f4556ab0019da2b844a7714,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (licenciatura),Presencial
1a8d344941258676e33dc3ab820ddbc2,Centro de Educação - CEDU,Graduação (licenciatura),Presencial
44c9f04875dd503be55bf7396c2282cf,Instituto de Computação - IC,Mestrado,Presencial
c9e3aeaabe816101ea05161adb1e515c,Campus CECA,Graduação (bacharelado),Presencial
671bc342ed2eddcb961f262e83d5cf8e,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (bacharelado),Presencial
28a3194afd832e6092799dcb8994c8f7,Faculdade de Letras - FALE,Graduação (licenciatura),Presencial
18c99c572378e16c0d7512488a681d67,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (bacharelado),Presencial
6dae0a7d8e635686dacbaa0e7ff12f87,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial
6f55f384f81a94e0928b30a5b01d9b6f,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial
8bd8a4b3269c54cbfaa96f09c2c462a4,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (licenciatura),Presencial
7bb0aa4b3c9d05dde70e8217ae543ce4,Campus CECA,Graduação (bacharelado),Presencial
fa1a73c26acd53c046b41c87732007b9,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (licenciatura),Presencial
ed9c125c937163ecfed957d9a9218193,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Presencial
373884c2d3ccc07ccee5a0643d28e59b,Escola de Enfermagem e Farmácia - ESENFAR,Graduação (bacharelado),Presencial
feefafe841d5c92092c1dec3791042e9,Instituto de Física - IF,Graduação (licenciatura),Presencial
